epoch,train_loss,train_accuracy,train_rmse,val_loss,val_accuracy,val_rmse
1,0.0595385801279917,0.5366222222222222,4.586796544312769,0.0452715050894767,0.6456,4.556772319266745
2,0.0485890718409791,0.6090666666666666,4.42810457903896,0.0409427407081238,0.6884,4.396954645265516
3,0.0440710817135616,0.6527111111111111,4.298155248303496,0.0386530728545039,0.7036,4.285150342671208
4,0.0406895687443796,0.6886222222222222,4.163858616251219,0.0365830318885855,0.7244,4.174579992113881
5,0.0385910180735994,0.7084444444444444,4.025537874033282,0.0356248744763433,0.7644,4.056394484331209
6,0.0370316580255431,0.7293777777777778,3.957019948825613,0.0343932243529707,0.782,3.996135566144981
7,0.0357784327246587,0.7466666666666667,3.837427123249457,0.0343651887960732,0.7904,3.9195988943731424
8,0.0342978793619708,0.7593333333333333,3.7374911805909368,0.0329055091366171,0.8116,3.793917649109547
9,0.0331681855234571,0.7687111111111111,3.700353814704437,0.0325672350823879,0.814,3.773429100765483
10,0.0319886440093713,0.7821777777777777,3.6718092679678698,0.033280596928671,0.8044,3.781269777608882
11,0.0308498672119722,0.7907111111111111,3.625488679739436,0.032484281132929,0.8148,3.742523965283631
12,0.0302904909582469,0.7956,3.605362921307746,0.0322749565821141,0.8208,3.73048576322287
13,0.0296291463124692,0.8043555555555556,3.675399187317188,0.0307408342137932,0.8028,3.811964621804653
14,0.028996588630517,0.8080444444444445,3.4538602322857144,0.0327127926051616,0.8352,3.624742480986392
15,0.028418043292318,0.8126222222222222,3.5131169033563427,0.0316836823010817,0.8236,3.707394356266188
16,0.0278671826183033,0.8196888888888889,3.549128850542018,0.0319492097478359,0.816,3.736301617605613
17,0.0248854738231536,0.8319111111111112,3.3974771651252413,0.0306439766427502,0.8352,3.647043357435732
18,0.0240084336335051,0.8428,3.30493732474147,0.0320058214943856,0.846,3.5812663819856967
19,0.0238147732637695,0.8469333333333333,3.206269927868079,0.0309139979537576,0.8552,3.496281256837921
20,0.0232400986807823,0.8498222222222223,3.2431896662951822,0.0299327897373586,0.8516,3.549443559163681
21,0.0228367767069192,0.8547555555555556,3.184402257805634,0.0315416403347626,0.8504,3.5232898519316307
22,0.0221340165047546,0.8607111111111111,3.1579198602819645,0.0318814867176115,0.8468,3.523351035789664
23,0.0215239950339309,0.8603555555555555,3.0551498172861784,0.0313435185467824,0.85,3.451512139437751
24,0.019798529686258,0.8707111111111111,2.9983902846568733,0.0304158991202712,0.8596,3.422688600376118
25,0.0194416707275774,0.8740888888888889,2.968996198599652,0.0309018637053668,0.8584,3.4152753767675885
